,0,1
0,cx,cy
1,853.5,625.0
2,854.5,625.0
3,853.5,625.0
4,854.5,625.0
5,853.5,625.0
6,854.5,625.0
7,853.5,625.0
8,854.5,625.0
9,853.5,625.0
10,854.5,625.0
11,853.5,625.0
12,854.5,625.0
13,853.5,625.0
14,854.5,625.0
15,853.5,625.0
16,854.5,625.0
17,853.5,625.0
18,854.5,625.0
19,853.5,625.0
20,854.5,625.0
21,853.5,625.0
22,854.5,625.0
23,853.5,625.0
24,854.5,625.0
25,853.5,625.0
26,854.5,625.0
27,853.5,625.0
28,854.5,625.0
29,853.5,625.0
30,854.5,625.0
31,853.5,625.0
32,854.5,625.0
33,853.5,625.0
34,854.5,625.0
35,853.5,625.0
36,854.5,625.0
37,853.5,625.0
38,854.5,625.0
39,853.5,625.0
40,854.5,625.0
41,853.5,625.0
42,854.5,625.0
43,853.5,625.0
44,854.5,625.0
45,853.5,625.0
46,854.5,625.0
47,853.5,625.0
48,854.5,625.0
49,853.5,625.0
50,854.5,625.0
51,853.5,625.0
52,854.5,625.0
53,853.5,625.0
54,854.5,625.0
55,853.5,625.0
56,854.5,625.0
57,853.5,625.0
58,854.5,625.0
59,853.5,625.0
60,854.5,625.0
61,853.5,625.0
62,854.5,625.0
63,853.5,625.0
64,854.5,625.0
65,853.5,625.0
66,854.5,625.0
67,853.5,625.0
68,854.5,625.0
69,853.5,625.0
70,854.5,625.0
71,853.5,625.0
72,854.5,625.0
73,853.5,625.0
74,854.5,625.0
75,853.5,625.0
76,854.5,625.0
77,853.5,625.0
78,854.5,625.0
79,853.5,625.0
80,854.5,625.0
81,853.5,625.0
82,854.5,625.0
83,853.5,625.0
84,854.5,625.0
85,853.5,625.0
86,854.5,625.0
87,853.5,625.0
88,854.5,625.0
89,853.5,625.0
90,854.5,625.0
91,853.5,625.0
92,854.5,625.0
93,853.5,625.0
94,854.5,625.0
95,853.5,625.0
96,854.5,625.0
97,853.5,625.0
98,854.5,625.0
99,853.5,625.0
100,854.5,625.0
101,853.5,625.0
102,854.5,625.0
103,853.5,625.0
104,854.5,625.0
105,853.5,625.0
106,854.5,625.0
107,853.5,625.0
108,854.5,625.0
109,853.5,625.0
110,854.5,625.0
111,853.5,625.0
112,854.5,625.0
113,853.5,625.0
114,854.5,625.0
115,853.5,625.0
116,854.5,625.0
117,853.5,625.0
118,854.5,625.0
119,853.5,625.0
120,854.5,625.0
121,853.5,625.0
122,854.5,625.0
123,853.5,625.0
124,854.5,625.0
125,853.5,625.0
126,854.5,625.0
127,853.5,625.0
128,854.5,625.0
129,853.5,625.0
130,854.5,625.0
131,853.5,625.0
132,854.5,625.0
133,853.5,625.0
134,854.5,625.0
135,853.5,625.0
136,854.5,625.0
137,853.5,625.0
138,854.5,625.0
139,853.5,625.0
140,854.5,625.0
141,853.5,625.0
142,854.5,625.0
143,853.5,625.0
144,854.5,625.0
145,853.5,625.0
146,854.5,625.0
147,853.5,625.0
148,854.5,625.0
149,853.5,625.0
150,854.5,625.0
151,853.5,625.0
152,854.5,625.0
153,853.5,625.0
154,854.5,625.0
155,853.5,625.0
156,854.5,625.0
157,853.5,625.0
158,854.5,625.0
159,853.5,625.0
160,854.5,625.0
161,853.5,625.0
162,854.5,625.0
163,853.5,625.0
164,854.5,625.0
165,853.5,625.0
166,854.5,625.0
167,853.5,625.0
168,854.5,625.0
169,853.5,625.0
170,854.5,625.0
171,853.5,625.0
172,854.5,625.0
173,853.5,625.0
174,854.5,625.0
175,853.5,625.0
176,854.5,625.0
177,853.5,625.0
178,854.5,625.0
179,853.5,625.0
180,854.5,625.0
181,853.5,625.0
182,854.5,625.0
183,853.5,625.0
184,854.5,625.0
185,853.5,625.0
186,854.5,625.0
187,853.5,625.0
188,854.5,625.0
189,855.5,625.0
190,862.5,625.0
191,871.5,625.0
192,884.5,625.0
193,895.5,625.0
194,906.5,625.0
195,917.5,625.0
196,930.5,625.0
197,941.5,625.0
198,952.5,625.0
199,961.5,625.0
200,964.5,625.0
201,963.5,625.0
202,966.5,625.0
203,969.5,625.0
204,970.5,625.0
